metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,20,0.9939869808287694,0.9846248400670146,0.9976310399595244,-0.030221065055969377,0.08377598122259117,-0.06942943118010672,0.008987301068167964,-0.19442198825224807,0.1339798581403093,0.032446298008728086,-0.03549255363935402,0.14773389019622674,0.08706783017529887,0.07109820966768962,0.9950540350210576,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,20,0.8386103591314225,0.5968061861814024,0.9359872730823527,-0.1426877771470812,0.2700364855971744,-0.26906874266556396,-0.016306811628598428,-0.671959288917543,0.38658373462338064,0.10458468115862356,-0.20897117604515905,0.09113912833406519,0.2993885771420888,0.1996060416177484,0.8815226832421545,보통,0.8,0.95,국면 분할 오차 추가,True
time_stand2sit,20,0.8475670273345811,0.6249647467527583,0.9391018498243747,0.10566880671024104,0.21105207530600567,0.006893394962208602,0.20444421845827349,-0.30799326088953005,0.5193308743100121,0.08174011728426736,0.09812671507507338,0.43268884581284517,0.23126116465587032,0.161942785173865,0.8734078735498395,보통,0.8,0.95,국면 분할 오차 추가,True
time_sd,20,0.7271847379114942,0.42438438287340335,0.8828632047579659,0.0008917304300401621,0.06177417791571919,-0.028019474779263663,0.02980293563934399,-0.12018565828476944,0.12196911914484977,0.023925036229323442,0.06601843282048052,0.733312940656299,0.06021662384644826,0.03723791196695336,0.7180898135128844,낮음,,,,
trunk_lean_max,20,0.20020774724787596,-0.09181351367947493,0.5566202247667019,-6.912271456367543,3.8060953095601255,-8.693578893448965,-5.130964019286121,-14.372218263105388,0.5476753503703025,1.474094374800453,0.49879597697161054,0.05160967300282029,7.844841624704497,6.912271456367543,0.5566573693553807,낮음,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,False
trunk_lean_range_mean,20,0.06909062336827967,-0.04268545691641389,0.295703079710096,-7.954813987194173,2.720227155353044,-9.227919484634075,-6.681708489754271,-13.28645921168614,-2.623168762702207,1.0535394470583517,0.178165797952649,0.5609037999816382,8.385029490630558,7.954813987194173,0.41687591563583887,낮음,0.5,0.8,동상,False
right_knee_range_mean,20,0.4855954376143579,0.06869969841459361,0.7586244087809721,-0.8345864878940226,4.526975737943454,-2.953276350765006,1.2841033749769608,-9.707458934263192,8.038285958475148,1.753290164174003,-0.47291983820703415,0.08077473283105849,4.490586651107796,3.724295139933246,0.5141479915102928,낮음,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,False
left_knee_range_mean,20,0.12225987603503506,-0.08442707931770077,0.42233939576291674,-15.072051744039896,8.595532086706145,-19.094884591463046,-11.049218896616747,-31.91929463398394,1.7751911459041487,3.329035262360439,-0.9425469258869091,0.0008319790515172033,17.24400640906664,15.072051744039896,0.467790290260942,낮음,0.75,0.9,동상,False
right_hip_range_mean,20,-0.008810765905656317,-0.09177156634918869,0.15370352121227848,-13.62736191057164,7.960348177717001,-17.35291953786175,-9.901804283281528,-29.22964433889696,1.9749205177536808,3.08302959223105,-0.10708906994029728,0.8286312013722938,15.681319415044674,13.62736191057164,-0.035128535962944706,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,False
left_hip_range_mean,20,-0.010738017431810248,-0.07771358853748396,0.12665421574935015,-16.27899849179589,8.360752954647355,-20.19195132308876,-12.366045660503017,-32.6660742829047,0.10807729931292442,3.238105695510366,0.40372838738480266,0.418813743029291,18.204748621337927,16.27899849179589,-0.05403717631547743,낮음,0.5,0.75,동상,False
alcazar_rel_power_Wkg,20,0.993455262598911,0.9836989447966121,0.9973948842709086,0.01356911457858323,0.04567611148341512,-0.0078079636248973745,0.03494619278206383,-0.0759560639289104,0.10309429308607686,0.017690281909478012,-0.019430267469242923,0.46640411190091463,0.046541515582110324,0.03712477104382095,0.9938813173535319,높음,0.85,1.0,시간 지표에만 의존,True
alcazar_power_W,20,0.9991589855073413,0.997911054753488,0.9996648849880715,0.9772169927763557,3.8412247056058084,-0.8205315077432775,2.774965493295989,-6.5515834302110285,8.50601741576374,1.4876999313851784,-0.002334265681909073,0.8103005680067907,3.86939400009607,2.937833863389666,0.99917389593505,높음,,,,
